Repetition,Estimator,True_Perf,Est_Error
1,Proximal,5.709799358629,0.626340177164
1,SRA,4.757833094463,0.580588769062
1,Oracle,5.709799358629,-0.409912347819

2,Proximal,4.750478718435,-1.243532942435
2,SRA,5.707555457326,1.370924956365
2,Oracle,5.707555457326,-0.306486120630

3,Proximal,4.793573625463,-1.002171864393
3,SRA,4.793573625463,-0.055535447668
3,Oracle,5.754680453335,0.245997506793

4,Proximal,5.652940606220,1.799005063611
4,SRA,4.703739188998,0.129349745699
4,Oracle,5.652940606220,0.212592523993

5,Proximal,5.718323442959,-2.296148106206
5,SRA,4.772224758024,-0.194189872809
5,Oracle,5.718323442959,-0.147788078678

6,Proximal,4.733171447577,-2.132251488417
6,SRA,5.694552857378,1.605780045623
6,Oracle,5.694552857378,0.169137363786

7,Proximal,4.771654370083,-1.051964685458
7,SRA,4.771654370083,0.544312687195
7,Oracle,5.734719471189,0.453282192914

8,Proximal,4.713749959893,-1.984182980399
8,SRA,5.655620844328,1.876815273070
8,Oracle,5.655620844328,-0.160327663303

9,Proximal,4.730183423288,-1.146458055708
9,SRA,4.730183423288,0.463792456823
9,Oracle,5.674345006950,-0.131965466851

10,Proximal,4.749501645449,-1.047856830773
10,SRA,5.144347354896,0.786696014549
10,Oracle,5.697510508860,-0.125249599019

11,Proximal,5.707888687861,-0.559849574329
11,SRA,4.757217055546,0.367975956412
11,Oracle,5.707888687861,-0.083435288666

12,Proximal,5.688593806737,-0.924876613284
12,SRA,4.724413485694,0.271447268899
12,Oracle,5.688593806737,-0.014570967452

13,Proximal,4.764251680669,-0.584634446871
13,SRA,4.764251680669,0.376509044570
13,Oracle,5.727839187917,0.245862121150

14,Proximal,4.757289579715,0.843886963808
14,SRA,5.722642714278,1.742318400110
14,Oracle,4.757289579715,0.293480002861

15,Proximal,5.732258105473,2.726927980148
15,SRA,5.732258105473,1.067704312407
15,Oracle,5.732258105473,-0.205644981801

16,Proximal,4.759374523867,0.188802155620
16,SRA,4.759374523867,0.180798637635
16,Oracle,5.709604316854,-0.027891075070

17,Proximal,4.777314270304,-0.565576433688
17,SRA,5.727537568226,1.534344161275
17,Oracle,4.777314270304,0.104401328530

18,Proximal,4.786448012680,1.792201327381
18,SRA,5.744151441565,1.284608369208
18,Oracle,5.744151441565,-0.072810698150

19,Proximal,5.700703502012,0.477712729208
19,SRA,4.735219046110,0.009021471091
19,Oracle,5.700703502012,0.250074213535

20,Proximal,5.738738120330,-0.866495029009
20,SRA,5.738738120330,1.716347149878
20,Oracle,5.738738120330,-0.031986908807

21,Proximal,4.727997904902,-1.977498601526
21,SRA,5.694592767975,1.093173449977
21,Oracle,4.735432161896,-0.112995785783

